Date,Close/Last,Volume,,,
9/21/2021,$192.96 ,3093468,,,
9/20/2021,$192.59 ,4614316,,,
9/17/2021,$196.25 ,5819573,,,
9/16/2021,$196.82 ,2661473,,,
9/15/2021,$197.50 ,3995869,,,
9/14/2021,$195.11 ,3239617,,,
9/13/2021,$193.98 ,3687232,,,
9/10/2021,$190.65 ,3331718,,,
9/9/2021,$188.47 ,1827894,,,
9/8/2021,$188.80 ,2021629,,,
9/7/2021,$189.46 ,2295952,,,
9/3/2021,$189.88 ,2103441,,,
9/2/2021,$189.41 ,2061416,,,
9/1/2021,$188.35 ,4536639,,,
8/31/2021,$190.91 ,4227735,,,
8/30/2021,$191.43 ,2356491,,,
8/27/2021,$190.52 ,2859989,,,
8/26/2021,$187.97 ,3643709,,,
8/25/2021,$188.09 ,3163578,,,
8/24/2021,$187.82 ,3268153,,,
8/23/2021,$187.85 ,3529034,,,
8/20/2021,$184.97 ,3855334,,,
8/19/2021,$185.04 ,3871756,,,
8/18/2021,$183.80 ,2862557,,,
8/17/2021,$186.32 ,3411822,,,
8/16/2021,$189.85 ,2506170,,,
8/13/2021,$188.70 ,1923680,,,
8/12/2021,$187.87 ,3949601,,,
8/11/2021,$189.50 ,2339370,,,
8/10/2021,$189.65 ,3497331,,,
8/9/2021,$190.45 ,2396200,,,
8/6/2021,$192.96 ,2414308,,,
8/5/2021,$193.16 ,2769531,,,
8/4/2021,$192.38 ,3793588,,,
8/3/2021,$189.34 ,3703460,,,
8/2/2021,$190.72 ,2922773,,,
7/30/2021,$190.62 ,2521715,,,
7/29/2021,$189.83 ,3081776,,,
7/28/2021,$186.85 ,2956943,,,
7/27/2021,$185.13 ,4649895,,,
7/26/2021,$188.26 ,4516737,,,
7/23/2021,$186.85 ,5982992,,,
7/22/2021,$183.91 ,12673940,,,
7/21/2021,$194.24 ,6352791,,,
7/20/2021,$187.77 ,4287544,,,
7/19/2021,$186.24 ,4181576,,,
7/16/2021,$186.12 ,4337576,,,
7/15/2021,$188.26 ,4259863,,,
7/14/2021,$191.28 ,3590215,,,
7/13/2021,$191.20 ,2695080,,,
7/12/2021,$191.92 ,4069516,,,
7/9/2021,$190.27 ,3109182,,,
7/8/2021,$188.24 ,3147227,,,
7/7/2021,$189.78 ,2749520,,,
7/6/2021,$191.20 ,2619753,,,
7/2/2021,$192.21 ,2390089,,,
7/1/2021,$190.84 ,3455953,,,
6/30/2021,$192.30 ,2687656,,,
6/29/2021,$192.88 ,2108687,,,
6/28/2021,$191.53 ,3228688,,,
6/25/2021,$188.17 ,4639336,,,
6/24/2021,$188.61 ,2876892,,,
6/23/2021,$186.10 ,2473274,,,
6/22/2021,$187.04 ,3299760,,,
6/21/2021,$186.11 ,3771261,,,
6/18/2021,$183.07 ,7535331,,,
6/17/2021,$187.65 ,3222379,,,
6/16/2021,$187.73 ,3357942,,,
6/15/2021,$188.61 ,2600234,,,
6/14/2021,$190.26 ,3360449,,,
6/11/2021,$188.67 ,2309380,,,
6/10/2021,$188.00 ,3188714,,,
6/9/2021,$186.45 ,2866943,,,
6/8/2021,$186.93 ,3063666,,,
6/7/2021,$188.55 ,2726265,,,
6/4/2021,$190.07 ,3462960,,,
6/3/2021,$186.00 ,4205441,,,
6/2/2021,$190.75 ,3137967,,,
6/1/2021,$189.00 ,4817511,,,
5/28/2021,$189.82 ,3306624,,,
5/27/2021,$189.13 ,10107760,,,
5/26/2021,$188.36 ,4221629,,,
5/25/2021,$188.70 ,4270225,,,
5/24/2021,$188.69 ,4165908,,,
5/21/2021,$185.01 ,3682338,,,
5/20/2021,$185.30 ,5386990,,,
5/19/2021,$181.72 ,4780154,,,
5/18/2021,$178.87 ,3454202,,,
5/17/2021,$180.83 ,4162317,,,
5/14/2021,$183.27 ,4433534,,,
5/13/2021,$178.99 ,4361497,,,
5/12/2021,$176.60 ,5297959,,,
5/11/2021,$183.20 ,4641488,,,
5/10/2021,$182.05 ,4580438,,,
5/7/2021,$187.76 ,4591506,,,
5/6/2021,$184.27 ,4525823,,,
5/5/2021,$181.65 ,5257339,,,
5/4/2021,$179.03 ,5222294,,,
5/3/2021,$178.80 ,5136070,,,
4/30/2021,$180.51 ,6193598,,,
4/29/2021,$185.82 ,4547337,,,
4/28/2021,$181.82 ,9434237,,,
4/27/2021,$190.21 ,3864051,,,
4/26/2021,$191.36 ,3842256,,,
4/23/2021,$188.82 ,3512433,,,
4/22/2021,$185.80 ,3853113,,,
4/21/2021,$188.90 ,4796529,,,
4/20/2021,$185.27 ,4258954,,,
4/19/2021,$187.06 ,5334947,,,
4/16/2021,$191.93 ,5792918,,,
4/15/2021,$193.17 ,4471900,,,
4/14/2021,$190.33 ,3555152,,,
4/13/2021,$191.24 ,4009373,,,
4/12/2021,$192.43 ,4505091,,,
4/9/2021,$195.43 ,3127318,,,
4/8/2021,$195.20 ,3157403,,,
4/7/2021,$193.09 ,3678962,,,
4/6/2021,$194.59 ,3506904,,,
4/5/2021,$196.93 ,4323937,,,
4/1/2021,$192.06 ,4581397,,,
3/31/2021,$188.99 ,5427730,,,
3/30/2021,$185.94 ,4458700,,,
3/29/2021,$186.18 ,4983805,,,
3/26/2021,$188.20 ,6363526,,,
3/25/2021,$178.49 ,4878534,,,
3/24/2021,$178.90 ,5056100,,,
3/23/2021,$178.78 ,4688580,,,
3/22/2021,$180.10 ,4476247,,,
3/19/2021,$175.98 ,8447253,,,
3/18/2021,$174.36 ,4214415,,,
3/17/2021,$179.35 ,4004804,,,
3/16/2021,$177.14 ,4132604,,,
3/15/2021,$174.91 ,3876751,,,
3/12/2021,$173.57 ,3514616,,,
3/11/2021,$174.95 ,5002903,,,
3/10/2021,$169.42 ,4270661,,,
3/9/2021,$170.36 ,7610263,,,
3/8/2021,$162.11 ,6065421,,,
3/5/2021,$167.94 ,5681162,,,
3/4/2021,$163.25 ,8318914,,,
3/3/2021,$170.59 ,4715866,,,
3/2/2021,$174.89 ,5401784,,,
3/1/2021,$177.67 ,4771643,,,
2/26/2021,$172.27 ,6060667,,,
2/25/2021,$170.53 ,6099645,,,
2/24/2021,$179.39 ,5100507,,,
2/23/2021,$172.85 ,6514423,,,
2/22/2021,$173.09 ,4386895,,,
2/19/2021,$178.35 ,4248489,,,
2/18/2021,$176.51 ,4195117,,,
2/17/2021,$178.53 ,4315389,,,
2/16/2021,$180.76 ,3887591,,,
2/12/2021,$179.64 ,2532565,,,
2/11/2021,$179.22 ,4775984,,,
2/10/2021,$174.36 ,3414929,,,
2/9/2021,$173.69 ,2777653,,,
2/8/2021,$175.12 ,4597562,,,
2/5/2021,$169.93 ,4045138,,,
2/4/2021,$172.00 ,3519812,,,
2/3/2021,$168.58 ,5019216,,,
2/2/2021,$174.75 ,4861179,,,
2/1/2021,$172.46 ,5715619,,,
1/29/2021,$165.69 ,5969788,,,
1/28/2021,$169.23 ,6796641,,,
1/27/2021,$162.93 ,10011230,,,
1/26/2021,$171.47 ,5341850,,,
1/25/2021,$172.92 ,5401881,,,
1/22/2021,$172.81 ,3737120,,,
1/21/2021,$175.10 ,3584673,,,
1/20/2021,$173.33 ,4329529,,,
1/19/2021,$174.19 ,6278012,,,
1/15/2021,$169.19 ,3734645,,,
1/14/2021,$171.71 ,3416354,,,
1/13/2021,$171.41 ,2953892,,,
1/12/2021,$172.30 ,3406613,,,
1/11/2021,$171.31 ,4553836,,,
1/8/2021,$171.16 ,4556506,,,
1/7/2021,$167.94 ,5673709,,,
1/6/2021,$164.22 ,5254431,,,
1/5/2021,$163.41 ,4734166,,,
1/4/2021,$162.22 ,4659971,,,
12/31/2020,$164.13 ,2906171,,,
12/30/2020,$162.70 ,2213785,,,
12/29/2020,$161.18 ,2433694,,,
12/28/2020,$161.47 ,2139362,,,
12/24/2020,$161.64 ,1044396,,,
12/23/2020,$160.98 ,2012454,,,
12/22/2020,$162.52 ,2645599,,,
12/21/2020,$162.43 ,3077337,,,
12/18/2020,$164.07 ,7072582,,,
12/17/2020,$162.69 ,5253382,,,
12/16/2020,$162.12 ,3148110,,,
12/15/2020,$162.38 ,5732166,,,
12/14/2020,$160.12 ,5994265,,,
12/11/2020,$160.61 ,4145765,,,
12/10/2020,$162.00 ,5597283,,,
12/9/2020,$162.76 ,5594021,,,
12/8/2020,$166.68 ,3259883,,,
12/7/2020,$166.29 ,4645586,,,
12/4/2020,$166.52 ,3741574,,,
12/3/2020,$161.98 ,4778646,,,
12/2/2020,$162.72 ,4212255,,,
12/1/2020,$163.49 ,4894413,,,
11/30/2020,$161.25 ,4845192,,,
11/27/2020,$158.99 ,3084389,,,
11/25/2020,$157.60 ,3543903,,,
11/24/2020,$159.35 ,4962833,,,
11/23/2020,$157.42 ,2803289,,,
11/20/2020,$156.82 ,3012972,,,
11/19/2020,$157.27 ,2465531,,,
11/18/2020,$153.55 ,2998439,,,
11/17/2020,$155.50 ,3526734,,,
11/16/2020,$158.31 ,3456499,,,
11/13/2020,$156.65 ,2439811,,,
11/12/2020,$154.50 ,2607087,,,
11/11/2020,$155.70 ,3497169,,,
